tweet_id,sentiment,author,content,content_length
1695693468,neutral,CiaaoAmore,"i am confident, but i still have my moments baby that's just me  - La La Land - Demi Lovato",91
1694550060,neutral,gozzyboy777,Use this link to start earning free cash http://tinyurl.com/coboyf  Just sign up and get paypal cashouts of minimum $1  !!,122
1960862577,worry,zoombaby,My sister got a lunch date and I don't,38
1752847089,neutral,pamsprayng,Its 11:11,9
1752382455,neutral,kluless65,"@AClockworkToad Im not getting any treatments, we are just gonna hang out at the pool and the hot tubs.",103
1753551397,neutral,OfficialShew,@caaakes Tell X to email me pics! OfficialShew@gmail,52
1695475446,happiness,wickedlibrarian,@TiernanDouieb Oh gosh I hope so. How fun!,42
1753838349,happiness,David_GG,"So, I finally got my but on Twitter. Let's hope I make good use of this site",76
1753516572,happiness,MelanieFresh27,"Roast was yummy, I think mum was impressed!!!",45
1751432381,neutral,hayrose,is #6 seed in regionals!!,25
1752700779,neutral,joshfittell,@Mandixy ahaha thats okay and thanks,36
1961818780,worry,mollydot,"@tronella Cool! I have one (from a decluttering friend), but I don't know how to play",85
1966431438,neutral,FrancesAnnMance,@Eumiko uhhhh..... yeah.... I don't tweet a lot nowadays quite lazy to do so.  this month has always been about college.,120
1964546186,worry,AnnieLovesDT,@Carolz_S I know McFly gonna be in Brazil  Say them hello!!!...I wanna be there,79
1752018186,happiness,tweet_leigh,@amoonchilde  Thank you!  Tomorrow is my b-day too! I tease my Mom and tell her I was her Mother's Day gift.,108
1961886882,worry,RoseTown,Just discovered a painful sunburn on my right sholder  hopefully it just turns into a tan!,90
1957728860,neutral,sunnysunnysunny,"@karess I do feel bad for him too. Especially na ngayon pa siya nagrerehab siya and all. Wrong timing. Still, maybe he had it coming",132
1694510655,neutral,blueberrymei,Got a lot of things to do hehe daya sa mga walang ginagawa,58
1752775061,neutral,peachiesinla,Maitreya for Bobby's bday!  Yay,31
1751820955,neutral,NenetteAM,@daysgoby - thanks!  it'll be great    ... and even better as soon as I get that wallet in my grubby little hands!  lol,119
1961004747,happiness,stevegarufi,"@joycecherrier Awww. Don't mean to sound like an overgrown age 37 baby, but I'm still stick. Not as bad as yesterday, but still bad.",132
1752442787,worry,SNOBREY,@denverflyhigh Man it will be a sweep no worries,48
1694707058,happiness,MICHAELKTHNXBAI,"your saaaaafe with mee(8) fucking epic times again last night  old friends and new friendships, good way to kick off this month!",128
1962265740,neutral,igorlet,@a_nobel ? ? ?????????????  = ?????? ?????? ?????? ?? ????,58
1964668307,neutral,BIDAloca,@DearFloyd  u don't know harajuku lovers?,41
1694494426,happiness,AustinPrime,@lccsweetme haha that's way cool! Good morning,46
1965417904,neutral,St3phLuva,I hate funerals.,16
1693956462,happiness,bellasaurus,victory for the bulldogs was celebrated by 3 white chocolate cheesecakes  nom nom nom WHATTA FATTYYY,100
1694727907,happiness,rayvinhsu,@m3nny5 iye neh...kurang tidur kayaknya. pulang pagian deh hari ini tidur langsung...haha. Thanks!,98
1965869419,worry,GoldyMom,@derwendtde so sorry about that  I have the same issues...LOL. My weekend started about an hour ago!!!,102
1695164316,neutral,JLHS11,Morning.  Tweet Tweet.,22
1695163016,neutral,BRIGGSFITNESS,is getting the kids ready for school before deciding the workout du jour,72
1752941794,neutral,christine_marie,@LetterstoCHRIS Tell everybody I say hello.,43
1960620873,worry,heartsigh,I'm trying to figure out how on earth I am supposed to be able to update my statuses via my phone. Someone help meeee!,118
1962189037,neutral,theronnieharris,@deejaychips i havent laid my verse yet...,42
1961502333,happiness,Evil_wun,Just found out my baby cousin is gonna be a dad!!!! At least he's married already. Everybody is getting married and having kids before me,137
1753274028,worry,jos897,"@noisydogstudio sorry 2 hear albert isnt well? dont know whole story, so i'll keep ya'll both in my prayers. (((hugs))) 2 u both!",129
1753485398,happiness,pootiechang,"@duck_ily Thanks for coming out, cuz",36
1963587139,worry,a_rabbit,is gaining weight.  rather,26
1957613033,worry,joneorange,Start of diet today  I think I have to face I will never get back down to 77kilos (unless I cut a leg off)ï¿½,109
1963417808,worry,HannahLouise02,hasn't had time to go on twitter since working full time!,57
1962608690,worry,chf1,So bored  waiting for class to start. Sigh midterms next week &gt;_&lt;,71
1753869835,happiness,SaDcharlotte,"@AbbeyEmm Haha. If you like him, then you should go",51
1694768796,happiness,anemathilde,School -.- I'm arrange for the design of the blog to a friend! I think it's looks good  http://xoxoeternity.blogg.no/,117
1966048271,neutral,amyk4108,@donnaml40160 I haven't started packing,39
1750928862,happiness,naser_ona,Belting Next to Normal is a fabulous evening choice,51
1966087099,neutral,rachealhekking,"@tristanhilliard oh nos, what happened",38
1695582959,happiness,MandaLu,@TackStoreLady I'm coming in today to get my other hat and my $5 credit!,72
1753155489,happiness,sskariah,Missing my mother... t-11 days! HAPPY MOTHER'S DAY!!,52
1752725146,happiness,TatianaMzPretty,@MrsPinkyIvory Hey Pinky I ordered some stuff from that site you gave me. I got it yesterday in the mail so pretty  thanks,122
1753115986,neutral,GintareAuglyte,"@keirajonas LATER! fine   YOUmissed joe on bebo, he was online x]",65
1694108289,neutral,ishbel,"ah, also figuring out when we're going to Rome next. &amp; Venice. @vagrant_saint start thinkin when you wanna go, love!",120
1960154064,neutral,jenibella,@elledeutsch ok ! can you text me so I have your number..i didnt have any saved to sim,86
1960306309,worry,Amaru279,I miss my water cuz my well went dry,36
1964159645,neutral,josefamanriquez,"@nicole531 http://twitpic.com/5s5f9 - Joe had the same shirt in the concer here, in Chilee! hahaha Big rob wasn't here",118
1960354292,worry,davidiangray,Enjoyed last night at what I call &quot;real world social networking&quot; -  LOK event in Vancouver.  It was great!.  But headeache today,138
1751503063,happiness,LauraLxox,on the phone w. Chantellie ! &lt;3,34
1752122000,happiness,NatiTom,@emilyorshan hahaha i have a bob marley one,43
1753631427,neutral,aleeeeee,@MeBec go on the msnnnn or ring my home phone  NOW,50
1753566595,happiness,alexderossi,@rv109creek ay buti pa kayo!!!! uy thank you!!,46
1753367304,happiness,brett,@lauriepercival it was a great wedding! the band was awesome (they played a ton of great 80's songs) as was the food!,117
1751988015,happiness,Mommykins41,"@QueenSapphyre So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It's what you love, right? Why not go for it!",130
1957137208,worry,iSasha,@skyduke478 that makes me sad for you,37
1753433607,happiness,voidboi,@baggers haha yeah it was,25
1694705036,happiness,jaideeh,get my wii fit in couple of hours!,34
1957753872,worry,thepurplediva,The sun is wonderful but makes me feel incredibly fat.. The less clothes and more exposure thing  today I diet. Again......,123
1962651982,worry,Lewisham,"Thus far, Metaverse U has used the Second Life = Virtual Worlds, rather than the gamier Terra Nova usage. I'm in the TN camp  #metaverseu",137
1695108013,neutral,fallenrosemedia,"@miss_anekie ok darl, i will suggest you to the MUA (Tracie Weaver), as she'll be making the decision",101
1964813960,neutral,PapiPaz,@princ3ssdim3 I dont have no plans Just to go home and watch the Game. Plus I still have to work early so cant be out partying too late,135
1753294069,worry,SashaOnline,"@iamcomedy how abt we wait til summer, and do this at ur place...ima need somewhere to stay anyways",99
1752087568,happiness,Alexis_Watson,Be sure to let the moms you know how fabulous you think they are!!   Almost Mother's Day.,89
1752749913,neutral,PhuqPhase,Spending the Night at lightner's crib.,38
1694791751,happiness,Iren19,May the 4th be with you    Happy Star Wars Day !!!,50
1966263058,worry,cdeison,My picture won't update.,24
1753517374,happiness,tirzaroemokoy,i dyed my hair back to super black again!,41
1753500295,neutral,Vdubbed,@MarcBmusic Pineapple rocks bud,31
1966003600,worry,vansmakeupride,Woa NOBODY is inside the movie theater... Its termenator ppl shud be in here... Scary,85
1753745279,happiness,nadinesaupeart,Just found out I'll be a Food Engineer in a future life. Cool. *iPhone app called Afterlife,91
1964224876,neutral,rosesandthorns2,"Changing to work,.",18
1751986120,happiness,Ms_Tericca,Is enjoying staying in the house today,38
1753584459,neutral,adixoxo,goodnight!,10
1751540044,neutral,avenue_r,I slept at 2am yesterday,24
1753615512,happiness,xangie1984x,14 days until Boyzone,21
1963902800,worry,leggybowtwanger,"What to do this weekend, what to do. Don't think I'll be making it to Michigan for The Wonder Years.",100
1962999757,worry,leptailurus,In other news: I want to register for this Artslam thing but I'm too afraid.  I'll just do it independently I suppose.,118
1965995913,worry,KrunkJFunk,I'm miserable with my boredom.,30
1961692973,worry,tan1337,Shit my neighbors dog just died.. it was hit by a damn car.. feeling really sad,79
1965952473,worry,unckeekee,AHHHHH I needa hurry up and shower before this &quot;HUGE&quot; storm hits,74
1695136157,worry,shiv379,"@shiv379 Try have a read of the Paul Mckenna book I Can Make You Thin, it has some good advice on how bad traditional &quot;diets&quot; are",139
1695162933,neutral,rob_caporetto,@coliwilso hmm.. should be okay with any of 'em - DM me your e-mail and I'll send the install notes over,104
1693997942,neutral,sidish6,"@ravenousraven check out her new song &quot;sentimental, wat-a-joke-ental&quot; she's a fren  www.last.fm/music/marple+meg",122
1957392621,neutral,hobosexual,@keytar make up your mind,25
1966286456,worry,beciwanuscha,has on music at work today its so painful,41
1964242943,neutral,MRMIMe,@hauntyou Umm..ok..just don't start cats on fire..  ...promise,62
1695027872,happiness,lilyofoz,"@williamfdevault i've sent a twitter invite to poet friends, i'm hoping they will come poetize, would love 2 see more poets here  #poets",136
1694090630,worry,HannahBaird,is sitting in her nan's bathroom dying her hair for the x factor auditions tomorrow,83
1964763479,neutral,pegkling,"@campingal if our office bldg. sells we will move to another smaller one that we own, but will lose the gym",107
1965497289,worry,Yaniix,totally having austin powers withdrawl symptons and Darrius withdrawl symptoms and mommy and minne withdrawl syamptoms.,119
1962704109,happiness,loopylou15,"@heloloser thanks clair, I haven't watched it yet.",50
1753433326,happiness,Mileyfan4eva8,listenin do da beach girl5 on itunes,36
1694293237,worry,marivico,Scrubs tonight (8.00pm). woo!,29
1961747953,neutral,elfennau,@Kreeoni I know that feeling.,29
1753293184,happiness,Cococorrinahhhh,Using my old phone!  gosh! I miss this phone!,45
1957339208,worry,iarobin,Test another update... sorry for bothering all of u guys,56
1957288930,worry,theanand,@vivzy yeps...just for today though  I badly wanted to do some geek-shopping...,79
1956985535,happiness,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",88
1752287764,happiness,ronimom,Ok all have hit the point of relaxation.. heading to bed  sleep well and Happy Mother's day to all you Moms out there!! Night,125
1751178104,happiness,JoaoMendonca,@parislisbonne I'm glad you liked it   Want more?,49
1751715589,neutral,BigFan11,just got up and updated my ipod,31
1961490616,neutral,FieFieSoMajor,"YAWN! Ow, caught a cramp  maybe I should take a nap",51
1752534411,happiness,trustyfoto,Watching the Twins handle the Mariners again!! Whoo-hoo!!!  Tony http://www.trustyfotografie.com,96
1694091610,neutral,Trentarena,@ameliafell we realise this,27
1957159745,neutral,fearless911,Huge headache...goodnight!!,27
1964374843,neutral,candyojeda,@ladyinurdreamz dude!!! wtf!! I text you this morning so that you can take care of me! so uncool..... it's confirmed... you hate me,131
1753742633,happiness,twebbstack,@paigeebaby hahahah lols you have fun with that aye  i had the div too ) the experience but i love my spongebob ) (L),117
1962116785,happiness,jcmoreno14,@MorganMartinez My dream was about hanging out with all my friends. It was good until I woke up and they weren't there.,119
1753435564,neutral,Karenins,Hasta maï¿½ana twitters,23
1695251708,neutral,natashasaurus,off to bed for the night. goods night everyone,46
1694072292,neutral,RAJO_WebUnicorn,@andysowards quite,18
1753097692,happiness,bushidospirit,"@gretchenrubin I love this!!  our body should tell us how much sleep it needs, and its always good to be mindful at mealtimes",125
1695843916,neutral,vanish205,nothing,7
1752963117,neutral,MarikaRae,Happy Mothers Day,17
1965365596,worry,allieloves,"the next 2 weeks, exam wise, are AWFUL. there are 8 exams and I don't see how I can adequately revise all of them  I care least about...",136
1962702233,neutral,evegboop,@michy_mar_mey I want cake  is it chocolate!??,46
1695476361,happiness,iamcherrypie,"@RizzoTees LOL, point at yourself and laugh!",44
1694034142,worry,fadedcitylights,@taaaschi It's driving you insane? Really? It's Sterling Knight playing Chad Dylan Cooper on Sonny With A Chance,112
1961214279,worry,songbird727,Trying to get this swimmer's ear to go away!!,45
1964049995,neutral,evolvingblue,@cameronmoll none of the above? there is no none of the above option.,69
1751069543,happiness,nfuginski,"@justlikethem I would lime them. Or lemon?  And deal, sounds fabulous to me!  Text me up when you're back",105
1958127965,worry,rawitat,no food since woke up.,22
1752894898,happiness,ishtar_astarte,had a nice mother's day with mum. she liked her presents. wondering if i'll ever see some one again. talking to sisa.,117
1751143296,happiness,SUMAKOKO,@SafiG Lol..Wat was Vibes doin on Atlantic? &amp; where's ur shirt in your twitter pic? lol,91
1695803063,worry,colocelt,"@AJM1030 The movie was AWESOME, I wish I could re-load my pistols like Agent 0 did, but I do not want to be him  I think I will be Gambit",137
1960166403,worry,stratosphear,"Oh hell, I forgot the non-alcoholic cider for Monday's dinner. MPP is teetotaler. Now must drive to Waupoos. Have 7 cases of wine in car.",137
1965894486,worry,Cowboysalsa,Really big spider on the floor two metres away from me  am actually a little scared.,84
1753074934,happiness,ekwonn,/ happy mommy's day,19
1957654937,neutral,claudiatweets,@joyeuxmort Miss you too  tomorrow is friday...the day we usually just lounged around trying to figure out what to do,117
1963530176,worry,Lilytyger,HOMELESS afterJune 1st.......,29
1753548959,neutral,norme,@laura_diaz I did notice more men with kids in stores on Sat.I am heading to church and sing in the choir in the 1st &amp; 2nd services.,136
1962472617,neutral,itsANNsucka,@nellcon I cannot  I have a full day of activities lol,54
1753549904,neutral,24kphotography,@misspleasure I'm on my way...!,31
1961648843,worry,Whacky,Am i the only one experiencing problems logging into digital point forums ???,77
1694882389,neutral,SteveHyden,"@mathewhulbert The Air that I Breathe, Just Like a Pill - you know the kind of thing - makes a change to Daniel O'Donnell and Jim Reeves",136
1752795997,neutral,TerryCPiano,is needing to make a new video,30
1695409078,worry,NanjoDogz,@SplitRockRanch Hey Split Rock -- I'd know that llama anywhere,62
1752445031,happiness,relynchjr,@sydeni_f_babei best two seconds of the movie,45
1694349877,happiness,BlalocksIRP,"@introversimonDu sounds good.  and yeah, I turn 21 tomorrow so I'll definitely be partying.",91
1694644702,neutral,demonick,@aprilyim thats real geek talk! haha...I feel you!,50
1752291308,worry,shaa_leeen,@julieannee sup betch,21
1964293053,worry,quornyum,"@Jennifalconer I don't know if I can bear to watch Hollie tommorrow night,it's a bit hard to take seeing the state she gets herself into",136
1965671333,worry,itsstephaniee,sad ending to the softball season.,34
1750964955,happiness,cwuwu,@lilcdawg its because we run on CPT!!!,38
1966067339,worry,HeartGrenade,is spending her Saturday morning taking notes for a research essay because some stupid whore recalled the book I'm using. Not fair,130
1694511632,happiness,raihanamcfly,I just got home.  i bought twiggies and a toothbrush that promises to make my teeth 60% cleaner. - http://tweet.sg,114
1965519805,neutral,MiDesfileNegro,@Saraa_xD What I TRIED to say was 'it seems like the people of Facebook don't agree'... I guess I fail  -cries-,111
1966280446,neutral,colbertobsessed,"The ballerina family is super nice, albeit a little too controlling of their son's life, but the bayou family is so judgemental.",128
1694707866,neutral,HometownHeroes,got live last night at our  vid comin soonnn,44
1694440059,neutral,M_M0152,lï¿½m ti?c m?ng MM gia nh?p h?i ?i ah,37
1753117631,neutral,willswanson1980,Loving the # dreambears on #britains got talent,47
1965556456,neutral,MCRmuffin,"@mcraddictal ohh, ouch",22
1752964373,happiness,emily_cs,happy superwomans day !,23
1957088574,worry,Chassidy7,Somebody please save the polar bears!,37
1694905310,neutral,clarahallifax,@amylovesjb  mayyyybe,21
1695219308,worry,XxXMiZWriGhTXxX,Good Morning!,13
1957728610,neutral,quickquacker,"my littelist fish, udon, is dearly departed",43
1965954109,worry,nnevitt617,didn't get to see his movie!,28
1962483112,worry,sanyukumiko,@motley_sis He got those cars before he lost his job.  He used to make good money. Now he works at McDonalds because nobody will hire him.,138
1753501700,worry,Filmmaker___,@Soudabeh What happened? ... Doctors don't get sick!   hope you get well soon...,80
1751716012,neutral,Diosce,@talindab http://twitpic.com/4w483 you guys look so nice,56
1751854460,neutral,mwredfern,"@tonyrobbins it's ok to tell yourself, 'I'm different!' because you are.",72
1694399445,worry,PrincesseClo,I'm a new french girl in Twitter! And I speak English very bad,62
1695106279,neutral,tententacles,"@obsidiantalon Well, at least you wont be late!",47
1752617887,happiness,hannahbeck8,@fatally_yours that's stunning!,31
1695312372,happiness,technogenii,Mondays aren't so bad when they are this sunny  #fb,51
1753367292,happiness,MadMaxMel,"Nine o'clock on a Sunday morning - Outside, sat around the table enjoying the early rays of sun, reading Twitter article in Sunday Times",136
1963745410,worry,sparkboy59,"so, why the hell are we going to school for 2 hours next monday and tuesday...dumb snow days and thier lame rules...my mom making me go",135
1961423828,worry,mavss,@Metal0520 I haven't talked to you since the last day of school!  that's no right.,82
1752917115,happiness,chatterbox1213,"@SpoiledMommy thanks  it was one of those goofy in the bathroom self taken dorky shot, ha ha. Hope you have a wonderful mommies day!",132
1695580620,happiness,shellykramer,"@froggie775 I'll be one of your &quot;groovy guys&quot; any time, shortie short  #photofollows",94
1753468176,neutral,KessaLynn,I have a cam sesh lined up tomorrow with my c4s winner  ill post screen shots in my lj. Friends only unless you convince me otherwise.,134
1962862124,worry,AnnA_LySe,"hurt my arm  can't write, hope it will be over for june the 5th",63
1957489791,happiness,dreamsthedream,@carocat Nooo  But hey you're back next week! Are you moving back for good?,75
1960337427,worry,CLOTHESMINDED1,PIRATE VOICE:AAARRRGGGHHH!!! I 4GOT MY DAMN WALLET AT WORK SHERMK!!! DAMMIT!!! SO CLOSE YET SO FAR!!! NOW IM STARVING!!!,120
1753870633,happiness,GoldenFish00,@llJessicall SOunds goood!,26
1753679848,happiness,tweeterism,"@RocknRollQueene @Loretta_aston Welcome to Twitter! Let me know if you have any questions, would love to help.",110
1695027961,neutral,sangfroid,"Strong winds. More than than the rains, I'm ready to embrace darkness that accompanies even a drizzle. Such a pessimist",119
1957753583,worry,Shewolf1963,Else find this extremely unfair and unjust. The people spoke about the mmj laws 10 years ago here and yet our voices are still not heard.,137
1957173834,neutral,VictoriaRolfe,Business exam tomorrow,22
1960607270,worry,DsBabyGirl,"@LuvinMeSomeD Yep, exactly   And I'm really sad about this tour...I know I'm gonna cry at my last M&amp;G....",109
1696002890,neutral,Caitt_Stargirl,Got some new clothes  and series one of supernatural on dvd,59
1751921002,happiness,ShannaElizabeth,is obsessing over chris pine  heehee...,39
1961119105,neutral,emohmeohmy,@snuffleupagous I really wish I could convince Brandon to move somewhere like that. All he wants to do is move to Lexington.,124
1750999802,happiness,DannieLovesYou,"@jojowright http://twitpic.com/4w24f - ooh, nice score, jojo!",61
1695054217,neutral,DaneCross,Do you guys like fish sticks?,29
1961440600,neutral,offwhitemke,@templon I personally know so many people/agencies which could have built these sites. It is like a Pres candidate buying a Honda.,130
1753256420,neutral,shortstack09,"It's my wall, and I like saying I banned Zac Efron  lol sonny",61
1957099719,worry,Lia_arch_angel,gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?,113
1694569144,neutral,bharathganesh,iPhone Nano and iPhone Shuffle http://tinyurl.com/dc4jbk. No surprises if this really happens,93
1964895211,worry,ACDalgaard,"@BitchNotAPerson Actually, I'm supposed to do that w/ my dad + cousin, My cousin is in trouble though, so we never get together",127
1695135100,happiness,BWAC2,girl talk is awesome,20
1694882122,neutral,SLUZZA,"maaate,grooovin was off the chain. uploading videos to youtube  www.youtube.com/sluzzaa  go watch!",98
1964230751,worry,united_by_fate,just doesn't understand why this thing wont save my photos  Defo uggo! lol,74
1963147217,happiness,aleeesadarling,"amazing, my brand new PARI neb broke. go figure. and it's the weekend. looks like i won't be getting another one until next week.  *sigh*",137
1753072558,worry,georgie_carroll,"@LauraRepetti i tested on an old shirt first, which was good coz they failed, but the two i did properly look awesome",117
1694473448,neutral,SarahSaner,"@Dutchrudder Hee Hee! I only holiday in the gutter, try to get there once a week at least! Welcome! lol  xx",107
1695310430,neutral,siddharthroy,@GauravSaha Two more tweets to go for 2345 tweets,49
1961769827,neutral,HeroLynk,@builttofail and the download failed  My phone does not like your phone.,72
1695313047,neutral,ohmeaghan,WHAT DO YOU WANT FROM ME?!  I'm awake.,38
1957623666,worry,sk1995,Hear @jonasbrothers full album preview during todays webcast!  #jonasnewsongs NO WAYYY I couldn't 'tune in',107
1751986389,happiness,Domm_LoveLife,Ouutside in the city talkin to trey trey  i misssed him,55
1963706210,neutral,theelfyone,"@vlastikb logically, yes. i just have to find one though. always seem to see them beside motorways when you cant stop",117
1751325239,happiness,MeganOgilvie,Just downloaded twitterberry. My life is now even MORE convenient.,66
1958086605,neutral,chloeconnellyx,home not well hate not workin,29
1695512827,neutral,ChromaWoods,Wohoo! Going to see Eddie Izzard in December!,45
1965983389,happiness,may1045,"@bztak1020 actually, my friend gave me the files today! lol but those are all CDA files... do u know how to convert them to MP3?",128
1694475534,neutral,KellyShibari,"BTW, Happy Star Wars Day... May the Fourth be with you! ROFLMAO...yes, I know I'm a total dork.",95
1962454264,worry,happyparrot,8 month old African grey parrot  sad sale - Reptile Forums UK http://bit.ly/grrdA,81
1753615184,worry,mmmj,http://twitpic.com/4ws8w - Look who I brought home,50
1963057544,worry,CoopInSoCal,@ericbolling Where's Dani Babb?,31
1958076371,happiness,Gail_Hamilton,The Renegades last day was today and...well... he's gone... didn't catch him  Gutted... Closest he came to Greenock was Kilmacolm!,130
1958046791,worry,Woodeh,Wish someone would by my 90mm Mamiya MF lens. Needs the money,61
1963142945,worry,TkOeUeCpH,he keeps makingfun of my typos!,31
1963858035,neutral,manpreetpangli,Exams are so stressful,22
1693974700,happiness,ginny9577,@DonnieWahlberg sounds like you all had a great night . i'm glad it was successful,82
1694494675,worry,bellward101,&quot;No more sorrow&quot;! by: Linkin Park....,47
1694834615,happiness,fajarjasmin,@aulia &quot;alternate means of acquisition&quot; sounds sorta noble,68
1694165012,neutral,koenpunt,"Going to twitter in english, for my foreign followers",53
1962138909,neutral,cia_baby,@atlanta_arcelay http://twitpic.com/4xvw2 - I got chased by a male chihuahua that looked like he was pregnant today  He was black and  ...,138
1751572386,happiness,WalkingMyles,Goood Moring,12
1751854217,happiness,swim10346,@peacelovekelly and we will all eat it and be happy,51
1750894185,neutral,SamanthaDeir,Off work,8
1960572503,neutral,picturehouses,"Looking out the window, beautiful blue sky, great forecast for the weekend - not good for cinemas",97
1965647071,worry,bonniem1983,Trying to figure out how this works  ... BOO,44
1694813034,neutral,danielstoker,May the 4th be with you  #starwarsday (via @dordali),52
1694017165,happiness,tantamani,@deversum good morning Hazel  caffeine-shot?,44
1753634184,neutral,thefinal310,Happy Mother's Day to all the Mom's,35
1750966258,happiness,yayjen,LOL. My moms present cost 69 dollars.,37
1962896342,neutral,FightstarAngel,"Is on her way to nottingham! ICOF tonight, then no more gigs umtil download. Fail",81
1695082482,happiness,danbriffa,@powerseller thanks,19
1753515593,worry,wiredmusician,epic day/night. disappointing loss #canucks but watching star trek made it so much better  live long &amp; prosper friends. night \\//-_-\\//,141
1751468096,neutral,sparklytosingle,"@sethsimonds well, my question is on your blog post",51
1695373973,happiness,jillcohn,Last day of college today!,26
1966053688,worry,ashleybird21,Wake Up..... Please.,20
1752618670,worry,Miss_Melbourne,@TinainMelbourne Will do,24
1964318505,neutral,logo2gogo,@JayLenoTonight Good luck tonight on the big finale show!,57
1695190767,neutral,EMMA_MCOADFM_D,@cosmicxpress cheers we will defo give you a call,49
1752920107,happiness,IIanS,@Commander_Cool yep here's hoping,33
1963349531,neutral,hollulaballula,Time ticking by sooo sloooooooooowlyyyyyyyyyyyyy,48
1957055981,happiness,montanaspeaks,FB is boring   and i wanna sing RIGHT NOW..! *-*,48
1960468669,worry,xtrahmxwohld,sinus congestion is making thinking straight difficult,54
1961149372,worry,xxnamziieexx,I just saw a load of ambulances &amp; police cars &amp; a car smashed up with a roof lying in the road.  :&quot;(  that's 1 man dead 4 sure.    .,145
1961504661,happiness,HNH101394,had a great time at six flags yesterday.. its summer   my friend spent the night last night and just left so now i'm bored..,124
1694791973,worry,divxdownloads,Download movie  &quot;Still Waiting...&quot; http://tinyurl.com/d9g8sj cool #movie,82
1694903982,neutral,StefaanLesage,"@jameswilliams90 If you ever need some help with the Podcasters Emporium, let me know",85
1957658054,worry,DrunkenBaracuda,That room will be an oven too,29
1961916904,worry,elizgracie,Now I have a sunburn,20
1962600629,happiness,delacool,@karriedaway you look sooooo pretty love. dang I wish I was in NY so I could c u do ur thang,92
1957606730,neutral,kptron,@alisonmyra It's called a RipStick.  When I had a job I sold a lot of those...,78
1753312137,neutral,KatManalili,had a great day...and now I'm off to bed. tomorrow I'm back in sd,65
1695510198,happiness,SooSpecial,@shayMonkey I'm comin wit u!!,29
1694222234,neutral,jdeplater,@hectorbrossi I'll be doing one of those too actually. It's for a composite film but want it real with rain also. Let me know how you go.,137
1957385704,happiness,MichelleChunii,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*,111
1695053952,neutral,kaytin12,@brb022 i would prefer 1 more monday,36
1750963294,neutral,Poohnine,"@nhuhieuma ava nï¿½y c?ng ch? cï¿½ 3 mï¿½u nh?? :-/ @gk2007 thui, hem sao em ?, c? h?i cï¿½n nhï¿½u m?,",103
1966351679,neutral,ill5Years,I gots the sniffles,19
1751322237,neutral,Emm94,"Is having a darts party with the parentals, my neighbor, and @livia9778!",72
1695731367,neutral,Czarjames,I wish Joe Bidden was on the train with me.,43
1753713283,neutral,rgoodchild,@TheWineVault oh I know. and I aprreciate it  it can be my back up plan,71
1753380657,neutral,Fish_chat,Burp the Frog  http://is.gd/rae9,32
1753582411,happiness,TheSamanthaJo,meeting up with strangers. lol. alone in vegas. amazing.,56
1751988252,happiness,MyKeiki,@Metqueen sounds awesome..,26
1964768420,worry,NikkiCrivello,@drerae awww. that sux! my mom has a totally numb finger as well ever since she had her surgery for her hip replacement..sucky.,127
